"Account Number","Meter Number","Day","Hour of Day","Hourly Total","Daily Total","Unit of Measurement"
"0000 000 0000 0","0","07/01/2019","6:00 PM",1.557,31.277,"kWh"
"0000 000 0000 0","0","07/01/2019","7:00 PM",1.984,31.277,"kWh"
"0000 000 0000 0","0","07/01/2019","8:00 PM",0.732,31.277,"kWh"
"0000 000 0000 0","0","07/01/2019","9:00 PM",3.439,31.277,"kWh"
"0000 000 0000 0","0","07/01/2019","10:00 PM",2.8,31.277,"kWh"
"0000 000 0000 0","0","07/01/2019","11:00 PM",1.159,31.277,"kWh"
"0000 000 0000 0","0","07/02/2019","12:00 AM",1.16,36.894,"kWh"
"0000 000 0000 0","0","07/02/2019","1:00 AM",1.14,36.894,"kWh"
"0000 000 0000 0","0","07/02/2019","2:00 AM",0.67,36.894,"kWh"
"0000 000 0000 0","0","07/02/2019","3:00 AM",1.073,36.894,"kWh"
"0000 000 0000 0","0","07/02/2019","4:00 AM",1.392,36.894,"kWh"
"0000 000 0000 0","0","07/02/2019","5:00 AM",0.937,36.894,"kWh"
"0000 000 0000 0","0","07/02/2019","6:00 AM",1.034,36.894,"kWh"
"0000 000 0000 0","0","07/02/2019","7:00 AM",1.07,36.894,"kWh"
"0000 000 0000 0","0","07/02/2019","8:00 AM",0.874,36.894,"kWh"
"0000 000 0000 0","0","07/02/2019","9:00 AM",1.637,36.894,"kWh"
"0000 000 0000 0","0","07/02/2019","10:00 AM",1.293,36.894,"kWh"
"0000 000 0000 0","0","07/02/2019","11:00 AM",1.881,36.894,"kWh"
"0000 000 0000 0","0","07/02/2019","12:00 PM",1.383,36.894,"kWh"
"0000 000 0000 0","0","07/02/2019","1:00 PM",1.901,36.894,"kWh"
"0000 000 0000 0","0","07/02/2019","2:00 PM",2.575,36.894,"kWh"
"0000 000 0000 0","0","07/02/2019","3:00 PM",3.283,36.894,"kWh"
"0000 000 0000 0","0","07/02/2019","4:00 PM",1.399,36.894,"kWh"
"0000 000 0000 0","0","07/02/2019","5:00 PM",1.81,36.894,"kWh"
"0000 000 0000 0","0","07/02/2019","6:00 PM",1.868,36.894,"kWh"
"0000 000 0000 0","0","07/02/2019","7:00 PM",1.162,36.894,"kWh"
"0000 000 0000 0","0","07/02/2019","8:00 PM",3.301,36.894,"kWh"
"0000 000 0000 0","0","07/02/2019","9:00 PM",1.171,36.894,"kWh"
"0000 000 0000 0","0","07/02/2019","10:00 PM",2.102,36.894,"kWh"
"0000 000 0000 0","0","07/02/2019","11:00 PM",0.778,36.894,"kWh"
"0000 000 0000 0","0","07/03/2019","12:00 AM",0.95,27.612,"kWh"
"0000 000 0000 0","0","07/03/2019","1:00 AM",1.03,27.612,"kWh"
"0000 000 0000 0","0","07/03/2019","2:00 AM",0.652,27.612,"kWh"
"0000 000 0000 0","0","07/03/2019","3:00 AM",0.991,27.612,"kWh"
"0000 000 0000 0","0","07/03/2019","4:00 AM",0.801,27.612,"kWh"
"0000 000 0000 0","0","07/03/2019","5:00 AM",0.844,27.612,"kWh"
"0000 000 0000 0","0","07/03/2019","6:00 AM",1.043,27.612,"kWh"
"0000 000 0000 0","0","07/03/2019","7:00 AM",1.229,27.612,"kWh"
"0000 000 0000 0","0","07/03/2019","8:00 AM",1.173,27.612,"kWh"
"0000 000 0000 0","0","07/03/2019","9:00 AM",1.211,27.612,"kWh"
"0000 000 0000 0","0","07/03/2019","10:00 AM",1.382,27.612,"kWh"
"0000 000 0000 0","0","07/03/2019","11:00 AM",0.902,27.612,"kWh"
"0000 000 0000 0","0","07/03/2019","12:00 PM",0.664,27.612,"kWh"
"0000 000 0000 0","0","07/03/2019","1:00 PM",0.677,27.612,"kWh"
"0000 000 0000 0","0","07/03/2019","2:00 PM",0.659,27.612,"kWh"
"0000 000 0000 0","0","07/03/2019","3:00 PM",0.693,27.612,"kWh"
"0000 000 0000 0","0","07/03/2019","4:00 PM",0.744,27.612,"kWh"
"0000 000 0000 0","0","07/03/2019","5:00 PM",0.734,27.612,"kWh"
"0000 000 0000 0","0","07/03/2019","6:00 PM",2.401,27.612,"kWh"
"0000 000 0000 0","0","07/03/2019","7:00 PM",2.171,27.612,"kWh"
"0000 000 0000 0","0","07/03/2019","8:00 PM",1.725,27.612,"kWh"
"0000 000 0000 0","0","07/03/2019","9:00 PM",1.704,27.612,"kWh"
"0000 000 0000 0","0","07/03/2019","10:00 PM",2.549,27.612,"kWh"
"0000 000 0000 0","0","07/03/2019","11:00 PM",0.683,27.612,"kWh"
"0000 000 0000 0","0","07/04/2019","12:00 AM",0.68,33.047,"kWh"
"0000 000 0000 0","0","07/04/2019","1:00 AM",0.666,33.047,"kWh"
"0000 000 0000 0","0","07/04/2019","2:00 AM",0.679,33.047,"kWh"
"0000 000 0000 0","0","07/04/2019","3:00 AM",0.728,33.047,"kWh"
"0000 000 0000 0","0","07/04/2019","4:00 AM",0.678,33.047,"kWh"
"0000 000 0000 0","0","07/04/2019","5:00 AM",0.671,33.047,"kWh"
"0000 000 0000 0","0","07/04/2019","6:00 AM",0.674,33.047,"kWh"
"0000 000 0000 0","0","07/04/2019","7:00 AM",1.195,33.047,"kWh"
"0000 000 0000 0","0","07/04/2019","8:00 AM",0.792,33.047,"kWh"
"0000 000 0000 0","0","07/04/2019","9:00 AM",0.846,33.047,"kWh"
"0000 000 0000 0","0","07/04/2019","10:00 AM",0.785,33.047,"kWh"
"0000 000 0000 0","0","07/04/2019","11:00 AM",1.296,33.047,"kWh"
"0000 000 0000 0","0","07/04/2019","12:00 PM",0.861,33.047,"kWh"
"0000 000 0000 0","0","07/04/2019","1:00 PM",0.871,33.047,"kWh"
"0000 000 0000 0","0","07/04/2019","2:00 PM",0.801,33.047,"kWh"
"0000 000 0000 0","0","07/04/2019","3:00 PM",0.848,33.047,"kWh"
"0000 000 0000 0","0","07/04/2019","4:00 PM",0.84,33.047,"kWh"
"0000 000 0000 0","0","07/04/2019","5:00 PM",0.922,33.047,"kWh"
"0000 000 0000 0","0","07/04/2019","6:00 PM",1.879,33.047,"kWh"
"0000 000 0000 0","0","07/04/2019","7:00 PM",3.989,33.047,"kWh"
"0000 000 0000 0","0","07/04/2019","8:00 PM",2.496,33.047,"kWh"
"0000 000 0000 0","0","07/04/2019","9:00 PM",2.441,33.047,"kWh"
"0000 000 0000 0","0","07/04/2019","10:00 PM",4.366,33.047,"kWh"
"0000 000 0000 0","0","07/04/2019","11:00 PM",3.043,33.047,"kWh"
"0000 000 0000 0","0","07/05/2019","12:00 AM",0.684,55.465,"kWh"
"0000 000 0000 0","0","07/05/2019","1:00 AM",0.666,55.465,"kWh"
"0000 000 0000 0","0","07/05/2019","2:00 AM",0.683,55.465,"kWh"
"0000 000 0000 0","0","07/05/2019","3:00 AM",0.662,55.465,"kWh"
"0000 000 0000 0","0","07/05/2019","4:00 AM",0.683,55.465,"kWh"
"0000 000 0000 0","0","07/05/2019","5:00 AM",1.221,55.465,"kWh"
"0000 000 0000 0","0","07/05/2019","6:00 AM",0.683,55.465,"kWh"
"0000 000 0000 0","0","07/05/2019","7:00 AM",1.476,55.465,"kWh"
"0000 000 0000 0","0","07/05/2019","8:00 AM",0.765,55.465,"kWh"
"0000 000 0000 0","0","07/05/2019","9:00 AM",1.385,55.465,"kWh"
"0000 000 0000 0","0","07/05/2019","10:00 AM",2.662,55.465,"kWh"
"0000 000 0000 0","0","07/05/2019","11:00 AM",4.146,55.465,"kWh"
"0000 000 0000 0","0","07/05/2019","12:00 PM",3.139,55.465,"kWh"
"0000 000 0000 0","0","07/05/2019","1:00 PM",0.953,55.465,"kWh"
"0000 000 0000 0","0","07/05/2019","2:00 PM",4.401,55.465,"kWh"
"0000 000 0000 0","0","07/05/2019","3:00 PM",5.961,55.465,"kWh"
"0000 000 0000 0","0","07/05/2019","4:00 PM",2.383,55.465,"kWh"
"0000 000 0000 0","0","07/05/2019","5:00 PM",2.074,55.465,"kWh"
"0000 000 0000 0","0","07/05/2019","6:00 PM",2.517,55.465,"kWh"
"0000 000 0000 0","0","07/05/2019","7:00 PM",5.645,55.465,"kWh"
"0000 000 0000 0","0","07/05/2019","8:00 PM",4.098,55.465,"kWh"
"0000 000 0000 0","0","07/05/2019","9:00 PM",3.636,55.465,"kWh"
"0000 000 0000 0","0","07/05/2019","10:00 PM",3.902,55.465,"kWh"
"0000 000 0000 0","0","07/05/2019","11:00 PM",1.04,55.465,"kWh"
"0000 000 0000 0","0","07/06/2019","12:00 AM",0.676,63.561,"kWh"
"0000 000 0000 0","0","07/06/2019","1:00 AM",0.691,63.561,"kWh"
"0000 000 0000 0","0","07/06/2019","2:00 AM",0.679,63.561,"kWh"
"0000 000 0000 0","0","07/06/2019","3:00 AM",0.675,63.561,"kWh"
"0000 000 0000 0","0","07/06/2019","4:00 AM",1.135,63.561,"kWh"
"0000 000 0000 0","0","07/06/2019","5:00 AM",0.668,63.561,"kWh"
"0000 000 0000 0","0","07/06/2019","6:00 AM",0.738,63.561,"kWh"
"0000 000 0000 0","0","07/06/2019","7:00 AM",3.491,63.561,"kWh"
"0000 000 0000 0","0","07/06/2019","8:00 AM",3.798,63.561,"kWh"
"0000 000 0000 0","0","07/06/2019","9:00 AM",2.628,63.561,"kWh"
"0000 000 0000 0","0","07/06/2019","10:00 AM",1.627,63.561,"kWh"
"0000 000 0000 0","0","07/06/2019","11:00 AM",1.356,63.561,"kWh"
"0000 000 0000 0","0","07/06/2019","12:00 PM",1.344,63.561,"kWh"
"0000 000 0000 0","0","07/06/2019","1:00 PM",6.157,63.561,"kWh"
"0000 000 0000 0","0","07/06/2019","2:00 PM",5.705,63.561,"kWh"
"0000 000 0000 0","0","07/06/2019","3:00 PM",5.59,63.561,"kWh"
"0000 000 0000 0","0","07/06/2019","4:00 PM",4.541,63.561,"kWh"
"0000 000 0000 0","0","07/06/2019","5:00 PM",2.235,63.561,"kWh"
"0000 000 0000 0","0","07/06/2019","6:00 PM",2.813,63.561,"kWh"
"0000 000 0000 0","0","07/06/2019","7:00 PM",3.582,63.561,"kWh"
"0000 000 0000 0","0","07/06/2019","8:00 PM",3.222,63.561,"kWh"
"0000 000 0000 0","0","07/06/2019","9:00 PM",5.143,63.561,"kWh"
"0000 000 0000 0","0","07/06/2019","10:00 PM",3.664,63.561,"kWh"
"0000 000 0000 0","0","07/06/2019","11:00 PM",1.403,63.561,"kWh"
"0000 000 0000 0","0","07/07/2019","12:00 AM",0.257,19.567,"kWh"
"0000 000 0000 0","0","07/07/2019","1:00 AM",0.254,19.567,"kWh"
"0000 000 0000 0","0","07/07/2019","2:00 AM",0.234,19.567,"kWh"
"0000 000 0000 0","0","07/07/2019","3:00 AM",0.228,19.567,"kWh"
"0000 000 0000 0","0","07/07/2019","4:00 AM",0.211,19.567,"kWh"
"0000 000 0000 0","0","07/07/2019","5:00 AM",0.433,19.567,"kWh"
"0000 000 0000 0","0","07/07/2019","6:00 AM",0.281,19.567,"kWh"
"0000 000 0000 0","0","07/07/2019","7:00 AM",1.816,19.567,"kWh"
"0000 000 0000 0","0","07/07/2019","8:00 AM",0.849,19.567,"kWh"
"0000 000 0000 0","0","07/07/2019","9:00 AM",0.725,19.567,"kWh"
"0000 000 0000 0","0","07/07/2019","10:00 AM",0.409,19.567,"kWh"
"0000 000 0000 0","0","07/07/2019","11:00 AM",0.201,19.567,"kWh"
"0000 000 0000 0","0","07/07/2019","12:00 PM",0.223,19.567,"kWh"
"0000 000 0000 0","0","07/07/2019","1:00 PM",0.21,19.567,"kWh"
"0000 000 0000 0","0","07/07/2019","2:00 PM",0.227,19.567,"kWh"
"0000 000 0000 0","0","07/07/2019","3:00 PM",0.203,19.567,"kWh"
"0000 000 0000 0","0","07/07/2019","4:00 PM",0.213,19.567,"kWh"
"0000 000 0000 0","0","07/07/2019","5:00 PM",0.196,19.567,"kWh"
"0000 000 0000 0","0","07/07/2019","6:00 PM",0.222,19.567,"kWh"
"0000 000 0000 0","0","07/07/2019","7:00 PM",2.582,19.567,"kWh"
"0000 000 0000 0","0","07/07/2019","8:00 PM",3.314,19.567,"kWh"
"0000 000 0000 0","0","07/07/2019","9:00 PM",2.328,19.567,"kWh"
"0000 000 0000 0","0","07/07/2019","10:00 PM",3.033,19.567,"kWh"
"0000 000 0000 0","0","07/07/2019","11:00 PM",0.918,19.567,"kWh"
"0000 000 0000 0","0","07/08/2019","12:00 AM",0.27,25.907,"kWh"
"0000 000 0000 0","0","07/08/2019","1:00 AM",0.219,25.907,"kWh"
"0000 000 0000 0","0","07/08/2019","2:00 AM",0.219,25.907,"kWh"
"0000 000 0000 0","0","07/08/2019","3:00 AM",0.223,25.907,"kWh"
"0000 000 0000 0","0","07/08/2019","4:00 AM",0.213,25.907,"kWh"
"0000 000 0000 0","0","07/08/2019","5:00 AM",0.229,25.907,"kWh"
"0000 000 0000 0","0","07/08/2019","6:00 AM",0.205,25.907,"kWh"
"0000 000 0000 0","0","07/08/2019","7:00 AM",1.131,25.907,"kWh"
"0000 000 0000 0","0","07/08/2019","8:00 AM",2.071,25.907,"kWh"
"0000 000 0000 0","0","07/08/2019","9:00 AM",2.658,25.907,"kWh"
"0000 000 0000 0","0","07/08/2019","10:00 AM",0.244,25.907,"kWh"
"0000 000 0000 0","0","07/08/2019","11:00 AM",0.223,25.907,"kWh"
"0000 000 0000 0","0","07/08/2019","12:00 PM",0.275,25.907,"kWh"
"0000 000 0000 0","0","07/08/2019","1:00 PM",0.206,25.907,"kWh"
"0000 000 0000 0","0","07/08/2019","2:00 PM",0.229,25.907,"kWh"
"0000 000 0000 0","0","07/08/2019","3:00 PM",0.216,25.907,"kWh"
"0000 000 0000 0","0","07/08/2019","4:00 PM",0.728,25.907,"kWh"
"0000 000 0000 0","0","07/08/2019","5:00 PM",1.569,25.907,"kWh"
"0000 000 0000 0","0","07/08/2019","6:00 PM",2.82,25.907,"kWh"
"0000 000 0000 0","0","07/08/2019","7:00 PM",4.299,25.907,"kWh"
"0000 000 0000 0","0","07/08/2019","8:00 PM",2.768,25.907,"kWh"
"0000 000 0000 0","0","07/08/2019","9:00 PM",1.732,25.907,"kWh"
"0000 000 0000 0","0","07/08/2019","10:00 PM",2.103,25.907,"kWh"
"0000 000 0000 0","0","07/08/2019","11:00 PM",1.057,25.907,"kWh"
"0000 000 0000 0","0","07/09/2019","12:00 AM",0.551,21.702,"kWh"
"0000 000 0000 0","0","07/09/2019","1:00 AM",0.228,21.702,"kWh"
"0000 000 0000 0","0","07/09/2019","2:00 AM",0.661,21.702,"kWh"
